"","ID","ID.CapDate","X","Y","Capture.date","Grid","year","Sex","Age","EappInt","HpolINF","PropOnGrid_10","NoNemInf_10","NoNemUninf_10","NemPrev_10","NoNemTotal_10","NoEimInf_10","NoEimUninf_10","EimPrev_10","NoEimTotal_10","PropOnGrid_14.1","NoNemInf_14.1","NoNemUninf_14.1","NemPrev_14.1","NoNemTotal_14.1","NoEimInf_14.1","NoEimUninf_14.1","EimPrev_14.1","NoEimTotal_14.1","PropOnGrid_20","NoNemInf_20","NoNemUninf_20","NemPrev_20","NoNemTotal_20","NoEimInf_20","NoEimUninf_20","EimPrev_20","NoEimTotal_20","PropOnGrid_22.4","NoNemInf_22.4","NoNemUninf_22.4","NemPrev_22.4","NoNemTotal_22.4","NoEimInf_22.4","NoEimUninf_22.4","EimPrev_22.4","NoEimTotal_22.4","PropOnGrid_28.3","NoNemInf_28.3","NoNemUninf_28.3","NemPrev_28.3","NoNemTotal_28.3","NoEimInf_28.3","NoEimUninf_28.3","EimPrev_28.3","NoEimTotal_28.3","PropOnGrid_30","NoNemInf_30","NoNemUninf_30","NemPrev_30","NoNemTotal_30","NoEimInf_30","NoEimUninf_30","EimPrev_30","NoEimTotal_30","PropOnGrid_31.6","NoNemInf_31.6","NoNemUninf_31.6","NemPrev_31.6","NoNemTotal_31.6","NoEimInf_31.6","NoEimUninf_31.6","EimPrev_31.6","NoEimTotal_31.6","PropOnGrid_36.1","NoNemInf_36.1","NoNemUninf_36.1","NemPrev_36.1","NoNemTotal_36.1","NoEimInf_36.1","NoEimUninf_36.1","EimPrev_36.1","NoEimTotal_36.1","PropOnGrid_40","NoNemInf_40","NoNemUninf_40","NemPrev_40","NoNemTotal_40","NoEimInf_40","NoEimUninf_40","EimPrev_40","NoEimTotal_40","PropOnGrid_50","NoNemInf_50","NoNemUninf_50","NemPrev_50","NoNemTotal_50","NoEimInf_50","NoEimUninf_50","EimPrev_50","NoEimTotal_50"
"80",79618812,"79618812-2012-08-14",50,40,"2012-08-14","HA1",2012,"M","Adult",13782.8571428571,0,0,0,1,0,1,0,1,0,1,0,0,4,0,4,1,3,0.25,4,0,0,4,0,4,1,3,0.25,4,0,1,4,0.2,5,1,4,0.2,5,0,1,4,0.2,5,1,4,0.2,5,0,1,4,0.2,5,1,4,0.2,5,0,1,6,0.142857142857143,7,2,5,0.285714285714286,7,0,2,9,0.181818181818182,11,2,9,0.181818181818182,11,0,2,9,0.181818181818182,11,2,9,0.181818181818182,11,0,2,18,0.1,20,4,16,0.2,20
"101",67123054,"67123054-2012-08-02",70,90,"2012-08-02","HA1",2012,"M","Adult",60.8695652173913,0,0,3,2,0.6,5,1,4,0.2,5,0,4,4,0.5,8,2,6,0.25,8,0,4,5,0.444444444444444,9,2,7,0.222222222222222,9,0,4,5,0.444444444444444,9,2,7,0.222222222222222,9,0,4,6,0.4,10,3,7,0.3,10,0,4,6,0.4,10,3,7,0.3,10,0,4,7,0.363636363636364,11,3,8,0.272727272727273,11,0,4,8,0.333333333333333,12,3,9,0.25,12,0,5,8,0.384615384615385,13,3,10,0.230769230769231,13,0,5,12,0.294117647058824,17,5,12,0.294117647058824,17
"104",67123054,"67123054-2012-08-16",80,90,"2012-08-16","HA1",2012,"M","Adult",5.55555555555556,0,0,2,4,0.333333333333333,6,3,3,0.5,6,0,2,8,0.2,10,4,6,0.4,10,0,3,9,0.25,12,5,7,0.416666666666667,12,0,3,14,0.176470588235294,17,7,10,0.411764705882353,17,0,3,14,0.176470588235294,17,7,10,0.411764705882353,17,0,3,14,0.176470588235294,17,7,10,0.411764705882353,17,0,4,14,0.222222222222222,18,7,11,0.388888888888889,18,0,4,14,0.222222222222222,18,7,11,0.388888888888889,18,0,4,16,0.2,20,9,11,0.45,20,0,5,17,0.227272727272727,22,10,12,0.454545454545455,22
"112",79786360,"79786360-2012-08-28",30,10,"2012-08-28","HA1",2012,"F","NotAdult",300,0,0,0,1,0,1,0,1,0,1,0,0,2,0,2,0,2,0,2,0,0,4,0,4,0,4,0,4,0,0,6,0,6,1,5,0.166666666666667,6,0,0,7,0,7,1,6,0.142857142857143,7,0,0,7,0,7,1,6,0.142857142857143,7,0,0,7,0,7,1,6,0.142857142857143,7,0,0,9,0,9,2,7,0.222222222222222,9,0,2,9,0.181818181818182,11,2,9,0.181818181818182,11,0,2,13,0.133333333333333,15,2,13,0.133333333333333,15
"121",66843623,"66843623-2012-08-15",100,80,"2012-08-15","HA1",2012,"M","NotAdult",4600,0,0,0,3,0,3,1,2,0.333333333333333,3,0,0,3,0,3,1,2,0.333333333333333,3,0,0,3,0,3,1,2,0.333333333333333,3,0,0,4,0,4,1,3,0.25,4,0,1,5,0.166666666666667,6,1,5,0.166666666666667,6,0,1,5,0.166666666666667,6,1,5,0.166666666666667,6,0,2,6,0.25,8,3,5,0.375,8,0,2,9,0.181818181818182,11,6,5,0.545454545454545,11,0,2,9,0.181818181818182,11,6,5,0.545454545454545,11,0,4,12,0.25,16,7,9,0.4375,16
"123",67287808,"67287808-2012-08-15",90,90,"2012-08-15","HA1",2012,"F","NotAdult",9.09090909090909,0,0,0,1,0,1,0,1,0,1,0,1,5,0.166666666666667,6,1,5,0.166666666666667,6,0,2,6,0.25,8,3,5,0.375,8,0,2,7,0.222222222222222,9,4,5,0.444444444444444,9,0,2,7,0.222222222222222,9,4,5,0.444444444444444,9,0,3,7,0.3,10,4,6,0.4,10,0,3,8,0.272727272727273,11,4,7,0.363636363636364,11,0,3,8,0.272727272727273,11,4,7,0.363636363636364,11,0,3,8,0.272727272727273,11,4,7,0.363636363636364,11,0,5,11,0.3125,16,7,9,0.4375,16
"128",79797834,"79797834-2012-08-28",60,80,"2012-08-28","HA1",2012,"F","NotAdult",540,0,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,0,0,1,0,1,1,0,1,1,0,1,4,0.2,5,2,3,0.4,5,0,1,6,0.142857142857143,7,2,5,0.285714285714286,7,0,1,7,0.125,8,2,6,0.25,8,0,1,8,0.111111111111111,9,3,6,0.333333333333333,9,0,1,11,0.0833333333333333,12,4,8,0.333333333333333,12,0,1,14,0.0666666666666667,15,6,9,0.4,15,0,3,19,0.136363636363636,22,8,14,0.363636363636364,22
"129",79618812,"79618812-2012-08-28",90,70,"2012-08-28","HA1",2012,"M","Adult",4400,0,0,0,1,0,1,0,1,0,1,0,0,5,0,5,2,3,0.4,5,0,0,6,0,6,3,3,0.5,6,0,0,10,0,10,6,4,0.6,10,0,0,10,0,10,6,4,0.6,10,0,0,11,0,11,6,5,0.545454545454545,11,0,0,12,0,12,6,6,0.5,12,0,0,13,0,13,6,7,0.461538461538462,13,0,0,14,0,14,6,8,0.428571428571429,14,0,2,17,0.105263157894737,19,8,11,0.421052631578947,19
"136",79774854,"79774854-2012-08-29",50,50,"2012-08-29","HA1",2012,"F","Adult",240,0,0,0,3,0,3,1,2,0.333333333333333,3,0,0,3,0,3,1,2,0.333333333333333,3,0,2,3,0.4,5,1,4,0.2,5,0,2,4,0.333333333333333,6,1,5,0.166666666666667,6,0,2,5,0.285714285714286,7,1,6,0.142857142857143,7,0,2,9,0.181818181818182,11,2,9,0.181818181818182,11,0,2,11,0.153846153846154,13,3,10,0.230769230769231,13,0,3,13,0.1875,16,3,13,0.1875,16,0,3,14,0.176470588235294,17,3,14,0.176470588235294,17,0,7,29,0.194444444444444,36,8,28,0.222222222222222,36
"138",66878865,"66878865-2012-08-29",100,80,"2012-08-29","HA1",2012,"M","Adult",4,0,0,0,6,0,6,3,3,0.5,6,0,0,8,0,8,5,3,0.625,8,0,0,8,0,8,5,3,0.625,8,0,0,10,0,10,6,4,0.6,10,0,0,12,0,12,6,6,0.5,12,0,0,12,0,12,6,6,0.5,12,0,0,12,0,12,6,6,0.5,12,0,0,15,0,15,7,8,0.466666666666667,15,0,0,16,0,16,8,8,0.5,16,0,0,18,0,18,9,9,0.5,18
"152",79623797,"79623797-2012-08-30",10,40,"2012-08-30","HA1",2012,"M","Adult",872.222222222222,0,0,0,3,0,3,0,3,0,3,0,0,4,0,4,0,4,0,4,0,1,4,0.2,5,0,5,0,5,0,3,7,0.3,10,0,10,0,10,0,3,8,0.272727272727273,11,0,11,0,11,0,5,10,0.333333333333333,15,2,13,0.133333333333333,15,0,5,16,0.238095238095238,21,4,17,0.19047619047619,21,0,5,17,0.227272727272727,22,5,17,0.227272727272727,22,0,5,23,0.178571428571429,28,7,21,0.25,28,0,6,28,0.176470588235294,34,9,25,0.264705882352941,34
