"","ID","ID.CapDate","X","Y","Capture.date","Grid","year","Sex","Age","EappInt","HpolINF","PropOnGrid_10","NoNemInf_10","NoNemUninf_10","NemPrev_10","NoNemTotal_10","NoEimInf_10","NoEimUninf_10","EimPrev_10","NoEimTotal_10","PropOnGrid_14.1","NoNemInf_14.1","NoNemUninf_14.1","NemPrev_14.1","NoNemTotal_14.1","NoEimInf_14.1","NoEimUninf_14.1","EimPrev_14.1","NoEimTotal_14.1","PropOnGrid_20","NoNemInf_20","NoNemUninf_20","NemPrev_20","NoNemTotal_20","NoEimInf_20","NoEimUninf_20","EimPrev_20","NoEimTotal_20","PropOnGrid_22.4","NoNemInf_22.4","NoNemUninf_22.4","NemPrev_22.4","NoNemTotal_22.4","NoEimInf_22.4","NoEimUninf_22.4","EimPrev_22.4","NoEimTotal_22.4","PropOnGrid_28.3","NoNemInf_28.3","NoNemUninf_28.3","NemPrev_28.3","NoNemTotal_28.3","NoEimInf_28.3","NoEimUninf_28.3","EimPrev_28.3","NoEimTotal_28.3","PropOnGrid_30","NoNemInf_30","NoNemUninf_30","NemPrev_30","NoNemTotal_30","NoEimInf_30","NoEimUninf_30","EimPrev_30","NoEimTotal_30","PropOnGrid_31.6","NoNemInf_31.6","NoNemUninf_31.6","NemPrev_31.6","NoNemTotal_31.6","NoEimInf_31.6","NoEimUninf_31.6","EimPrev_31.6","NoEimTotal_31.6","PropOnGrid_36.1","NoNemInf_36.1","NoNemUninf_36.1","NemPrev_36.1","NoNemTotal_36.1","NoEimInf_36.1","NoEimUninf_36.1","EimPrev_36.1","NoEimTotal_36.1","PropOnGrid_40","NoNemInf_40","NoNemUninf_40","NemPrev_40","NoNemTotal_40","NoEimInf_40","NoEimUninf_40","EimPrev_40","NoEimTotal_40","PropOnGrid_50","NoNemInf_50","NoNemUninf_50","NemPrev_50","NoNemTotal_50","NoEimInf_50","NoEimUninf_50","EimPrev_50","NoEimTotal_50"
"80",79618812,"79618812-2012-08-14",50,40,"2012-08-14","HA1",2012,"M","Adult",13782.8571428571,0,0,0,2,0,2,0,2,0,2,0,0,7,0,7,1,6,0.142857142857143,7,0,1,8,0.111111111111111,9,1,8,0.111111111111111,9,0,4,17,0.19047619047619,21,2,19,0.0952380952380952,21,0,4,19,0.173913043478261,23,2,21,0.0869565217391304,23,0,5,20,0.2,25,3,22,0.12,25,0,6,23,0.206896551724138,29,5,24,0.172413793103448,29,0,10,32,0.238095238095238,42,5,37,0.119047619047619,42,0,12,33,0.266666666666667,45,5,40,0.111111111111111,45,0,20,65,0.235294117647059,85,9,76,0.105882352941176,85
"101",67123054,"67123054-2012-08-02",70,90,"2012-08-02","HA1",2012,"M","Adult",60.8695652173913,0,0,5,3,0.625,8,1,7,0.125,8,0,7,8,0.466666666666667,15,2,13,0.133333333333333,15,0,7,10,0.411764705882353,17,2,15,0.117647058823529,17,0,8,13,0.380952380952381,21,3,18,0.142857142857143,21,0,8,16,0.333333333333333,24,4,20,0.166666666666667,24,0,8,18,0.307692307692308,26,4,22,0.153846153846154,26,0,9,22,0.290322580645161,31,4,27,0.129032258064516,31,0,10,23,0.303030303030303,33,4,29,0.121212121212121,33,0,11,24,0.314285714285714,35,4,31,0.114285714285714,35,0,14,31,0.311111111111111,45,6,39,0.133333333333333,45
"104",67123054,"67123054-2012-08-16",80,90,"2012-08-16","HA1",2012,"M","Adult",5.55555555555556,0,0,5,8,0.384615384615385,13,3,10,0.230769230769231,13,0,6,14,0.3,20,5,15,0.25,20,0,8,18,0.307692307692308,26,6,20,0.230769230769231,26,0,9,28,0.243243243243243,37,10,27,0.27027027027027,37,0,9,29,0.236842105263158,38,10,28,0.263157894736842,38,0,9,30,0.230769230769231,39,10,29,0.256410256410256,39,0,11,31,0.261904761904762,42,10,32,0.238095238095238,42,0,11,34,0.244444444444444,45,10,35,0.222222222222222,45,0,11,36,0.234042553191489,47,12,35,0.25531914893617,47,0,13,39,0.25,52,13,39,0.25,52
"112",79786360,"79786360-2012-08-28",30,10,"2012-08-28","HA1",2012,"F","NotAdult",300,0,0,1,6,0.142857142857143,7,0,7,0,7,0,2,13,0.133333333333333,15,0,15,0,15,0,3,19,0.136363636363636,22,0,22,0,22,0,5,24,0.172413793103448,29,1,28,0.0344827586206897,29,0,5,29,0.147058823529412,34,2,32,0.0588235294117647,34,0,5,33,0.131578947368421,38,2,36,0.0526315789473684,38,0,8,44,0.153846153846154,52,4,48,0.0769230769230769,52,0,10,50,0.166666666666667,60,5,55,0.0833333333333333,60,0,14,51,0.215384615384615,65,5,60,0.0769230769230769,65,0,16,66,0.195121951219512,82,6,76,0.0731707317073171,82
"121",66843623,"66843623-2012-08-15",100,80,"2012-08-15","HA1",2012,"M","NotAdult",4600,0,0,1,5,0.166666666666667,6,1,5,0.166666666666667,6,0,1,8,0.111111111111111,9,2,7,0.222222222222222,9,0,2,9,0.181818181818182,11,2,9,0.181818181818182,11,0,3,14,0.176470588235294,17,3,14,0.176470588235294,17,0,5,17,0.227272727272727,22,3,19,0.136363636363636,22,0,5,17,0.227272727272727,22,3,19,0.136363636363636,22,0,6,20,0.230769230769231,26,5,21,0.192307692307692,26,0,7,25,0.21875,32,8,24,0.25,32,0,7,25,0.21875,32,8,24,0.25,32,0,12,37,0.244897959183673,49,10,39,0.204081632653061,49
"123",67287808,"67287808-2012-08-15",90,90,"2012-08-15","HA1",2012,"F","NotAdult",9.09090909090909,0,0,1,4,0.2,5,1,4,0.2,5,0,5,11,0.3125,16,2,14,0.125,16,0,6,15,0.285714285714286,21,5,16,0.238095238095238,21,0,7,20,0.259259259259259,27,6,21,0.222222222222222,27,0,7,21,0.25,28,6,22,0.214285714285714,28,0,9,21,0.3,30,6,24,0.2,30,0,9,23,0.28125,32,7,25,0.21875,32,0,9,24,0.272727272727273,33,7,26,0.212121212121212,33,0,9,26,0.257142857142857,35,7,28,0.2,35,0,13,33,0.282608695652174,46,10,36,0.217391304347826,46
"128",79797834,"79797834-2012-08-28",60,80,"2012-08-28","HA1",2012,"F","NotAdult",540,0,0,3,0,1,3,0,3,0,3,0,4,3,0.571428571428571,7,2,5,0.285714285714286,7,0,5,10,0.333333333333333,15,4,11,0.266666666666667,15,0,9,20,0.310344827586207,29,6,23,0.206896551724138,29,0,11,24,0.314285714285714,35,6,29,0.171428571428571,35,0,11,26,0.297297297297297,37,7,30,0.189189189189189,37,0,14,31,0.311111111111111,45,9,36,0.2,45,0,15,40,0.272727272727273,55,12,43,0.218181818181818,55,0,16,44,0.266666666666667,60,14,46,0.233333333333333,60,0,23,64,0.264367816091954,87,17,70,0.195402298850575,87
"129",79618812,"79618812-2012-08-28",90,70,"2012-08-28","HA1",2012,"M","Adult",4400,0,0,0,7,0,7,1,6,0.142857142857143,7,0,2,13,0.133333333333333,15,3,12,0.2,15,0,2,16,0.111111111111111,18,4,14,0.222222222222222,18,0,3,25,0.107142857142857,28,8,20,0.285714285714286,28,0,5,27,0.15625,32,10,22,0.3125,32,0,5,29,0.147058823529412,34,11,23,0.323529411764706,34,0,7,35,0.166666666666667,42,11,31,0.261904761904762,42,0,10,39,0.204081632653061,49,13,36,0.26530612244898,49,0,10,41,0.196078431372549,51,13,38,0.254901960784314,51,0,16,57,0.219178082191781,73,17,56,0.232876712328767,73
"136",79774854,"79774854-2012-08-29",50,50,"2012-08-29","HA1",2012,"F","Adult",240,0,0,1,7,0.125,8,2,6,0.25,8,0,1,11,0.0833333333333333,12,2,10,0.166666666666667,12,0,5,13,0.277777777777778,18,2,16,0.111111111111111,18,0,5,19,0.208333333333333,24,2,22,0.0833333333333333,24,0,7,22,0.241379310344828,29,2,27,0.0689655172413793,29,0,8,28,0.222222222222222,36,4,32,0.111111111111111,36,0,11,37,0.229166666666667,48,7,41,0.145833333333333,48,0,14,43,0.245614035087719,57,8,49,0.140350877192982,57,0,14,47,0.229508196721311,61,8,53,0.131147540983607,61,0,32,85,0.273504273504274,117,19,98,0.162393162393162,117
"138",66878865,"66878865-2012-08-29",100,80,"2012-08-29","HA1",2012,"M","Adult",4,0,0,1,9,0.1,10,3,7,0.3,10,0,1,14,0.0666666666666667,15,6,9,0.4,15,0,2,15,0.117647058823529,17,6,11,0.352941176470588,17,0,3,22,0.12,25,8,17,0.32,25,0,5,26,0.161290322580645,31,8,23,0.258064516129032,31,0,5,26,0.161290322580645,31,8,23,0.258064516129032,31,0,6,29,0.171428571428571,35,10,25,0.285714285714286,35,0,7,36,0.162790697674419,43,13,30,0.302325581395349,43,0,7,37,0.159090909090909,44,14,30,0.318181818181818,44,0,12,51,0.19047619047619,63,17,46,0.26984126984127,63
