"","var.names","estimates","lowerCI","upperCI"
"1","NemPrev_10","-0.547129680619833","-3.55440192274495","2.37207022485495"
"2","NemPrev_14.1","-2.88283739268453","-5.73031577669733","-0.111409630331419"
"3","NemPrev_20","-3.10304622198627","-6.26687233458365","0.0564972109863678"
"4","NemPrev_22.4","-3.22000847727758","-7.16938894484155","0.844280134070643"
"5","NemPrev_28.3","-3.55962757126221","-7.5483817099676","0.495434764627999"
"6","NemPrev_30","-3.8823734034006","-8.32260085843421","0.669210267920444"
"7","NemPrev_31.6","-3.56812035914325","-8.11403405629198","0.997950280623203"
"8","NemPrev_36.1","-2.32835619005955","-7.34881038336502","2.70302324200649"
"9","NemPrev_40","-2.88470524367097","-8.00034111627569","2.13572844275346"
"10","NemPrev_50","-1.85163178374241","-7.51939679971275","3.79104006518897"
