"","var.names","estimates","lowerCI","upperCI"
"1","NemPrev_10","-1.0632699892021","-6.02427326142833","3.67683841797234"
"2","NemPrev_14.1","-4.85390653838013","-9.0849691201803","-0.495586360387125"
"3","NemPrev_20","-4.16082858014501","-8.48530437496092","0.173395418924388"
"4","NemPrev_22.4","-6.26957012564558","-12.8027366259984","0.318140242080627"
"5","NemPrev_28.3","-6.06958572891331","-12.3424042371135","0.340855408748788"
"6","NemPrev_30","-6.03788865574877","-12.422535630868","0.372031386529156"
"7","NemPrev_31.6","-6.1155854274687","-12.9881990778848","1.05952462175751"
"8","NemPrev_36.1","-5.77318033501271","-13.187681557615","1.66832007521323"
"9","NemPrev_40","-5.63624697740305","-12.8347183174319","1.79863171756844"
"10","NemPrev_50","-4.76478734401629","-13.4267522568629","4.16463558299805"
