"","ID","ID.CapDate","X","Y","Capture.date","Grid","year","Sex","Age","EhungInt","HpolINF","PropOnGrid_10","NoNemInf_10","NoNemUninf_10","NemPrev_10","NoNemTotal_10","NoEimInf_10","NoEimUninf_10","EimPrev_10","NoEimTotal_10","PropOnGrid_14.1","NoNemInf_14.1","NoNemUninf_14.1","NemPrev_14.1","NoNemTotal_14.1","NoEimInf_14.1","NoEimUninf_14.1","EimPrev_14.1","NoEimTotal_14.1","PropOnGrid_20","NoNemInf_20","NoNemUninf_20","NemPrev_20","NoNemTotal_20","NoEimInf_20","NoEimUninf_20","EimPrev_20","NoEimTotal_20","PropOnGrid_22.4","NoNemInf_22.4","NoNemUninf_22.4","NemPrev_22.4","NoNemTotal_22.4","NoEimInf_22.4","NoEimUninf_22.4","EimPrev_22.4","NoEimTotal_22.4","PropOnGrid_28.3","NoNemInf_28.3","NoNemUninf_28.3","NemPrev_28.3","NoNemTotal_28.3","NoEimInf_28.3","NoEimUninf_28.3","EimPrev_28.3","NoEimTotal_28.3","PropOnGrid_30","NoNemInf_30","NoNemUninf_30","NemPrev_30","NoNemTotal_30","NoEimInf_30","NoEimUninf_30","EimPrev_30","NoEimTotal_30","PropOnGrid_31.6","NoNemInf_31.6","NoNemUninf_31.6","NemPrev_31.6","NoNemTotal_31.6","NoEimInf_31.6","NoEimUninf_31.6","EimPrev_31.6","NoEimTotal_31.6","PropOnGrid_36.1","NoNemInf_36.1","NoNemUninf_36.1","NemPrev_36.1","NoNemTotal_36.1","NoEimInf_36.1","NoEimUninf_36.1","EimPrev_36.1","NoEimTotal_36.1","PropOnGrid_40","NoNemInf_40","NoNemUninf_40","NemPrev_40","NoNemTotal_40","NoEimInf_40","NoEimUninf_40","EimPrev_40","NoEimTotal_40","PropOnGrid_50","NoNemInf_50","NoNemUninf_50","NemPrev_50","NoNemTotal_50","NoEimInf_50","NoEimUninf_50","EimPrev_50","NoEimTotal_50"
"28",52842550,"52842550-2012-06-19",50,80,"2012-06-19","HA1",2012,"F","Adult",142.857142857143,1,0,0,0,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,NA,0,0,1,0,1,1,0,1,0,1,0,2,1,0.666666666666667,3,0,3,0,3,0,4,2,0.666666666666667,6,0,6,0,6,0,4,3,0.571428571428571,7,0,7,0,7,0,5,3,0.625,8,1,7,0.125,8,0,6,4,0.6,10,1,9,0.1,10,0,7,4,0.636363636363636,11,1,10,0.0909090909090909,11,0,12,7,0.631578947368421,19,1,18,0.0526315789473684,19
"29",67126571,"67126571-2012-06-19",60,60,"2012-06-19","HA1",2012,"F","NotAdult",7216.66666666667,0,0,1,1,0.5,2,0,2,0,2,0,1,1,0.5,2,0,2,0,2,0,1,1,0.5,2,0,2,0,2,0,1,1,0.5,2,0,2,0,2,0,1,3,0.25,4,0,4,0,4,0,1,3,0.25,4,0,4,0,4,0,3,3,0.5,6,0,6,0,6,0,5,4,0.555555555555556,9,1,8,0.111111111111111,9,0,5,5,0.5,10,1,9,0.1,10,0,10,9,0.526315789473684,19,2,17,0.105263157894737,19
"54",66859820,"66859820-2012-07-04",0,100,"2012-07-04","HA1",2012,"M","Adult",4.44444444444444,1,0,1,0,1,1,0,1,0,1,0,3,0,1,3,0,3,0,3,0,3,0,1,3,0,3,0,3,0,4,0,1,4,0,4,0,4,0,4,0,1,4,0,4,0,4,0,5,0,1,5,0,5,0,5,0,6,0,1,6,0,6,0,6,0,7,1,0.875,8,0,8,0,8,0,8,1,0.888888888888889,9,0,9,0,9,0,12,3,0.8,15,0,15,0,15
"67",67070550,"67070550-2012-07-17",20,60,"2012-07-17","HA1",2012,"F","NotAdult",15,0,0,3,4,0.428571428571429,7,0,7,0,7,0,7,5,0.583333333333333,12,0,12,0,12,0,9,6,0.6,15,0,15,0,15,0,11,8,0.578947368421053,19,1,18,0.0526315789473684,19,0,11,11,0.5,22,1,21,0.0454545454545455,22,0,12,11,0.521739130434783,23,1,22,0.0434782608695652,23,0,14,13,0.518518518518518,27,1,26,0.037037037037037,27,0,16,14,0.533333333333333,30,2,28,0.0666666666666667,30,0,17,18,0.485714285714286,35,4,31,0.114285714285714,35,0,24,24,0.5,48,6,42,0.125,48
"73",66810776,"66810776-2012-07-17",70,0,"2012-07-17","HA1",2012,"M","Adult",606.25,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,2,0,2,0,2,0,2,0,1,3,0.25,4,2,2,0.5,4,0,1,3,0.25,4,2,2,0.5,4,0,1,4,0.2,5,2,3,0.4,5,0,3,6,0.333333333333333,9,3,6,0.333333333333333,9,0,4,8,0.333333333333333,12,3,9,0.25,12,0,4,10,0.285714285714286,14,3,11,0.214285714285714,14,0,5,16,0.238095238095238,21,5,16,0.238095238095238,21
"114",79639579,"79639579-2012-08-14",80,100,"2012-08-14","HA1",2012,"F","Adult",121.212121212121,0,0,4,7,0.363636363636364,11,1,10,0.0909090909090909,11,0,5,8,0.384615384615385,13,1,12,0.0769230769230769,13,0,6,11,0.352941176470588,17,1,16,0.0588235294117647,17,0,8,12,0.4,20,1,19,0.05,20,0,9,13,0.409090909090909,22,1,21,0.0454545454545455,22,0,9,15,0.375,24,1,23,0.0416666666666667,24,0,9,20,0.310344827586207,29,2,27,0.0689655172413793,29,0,10,21,0.32258064516129,31,3,28,0.0967741935483871,31,0,10,21,0.32258064516129,31,3,28,0.0967741935483871,31,0,12,27,0.307692307692308,39,4,35,0.102564102564103,39
"131",79779379,"79779379-2012-08-28",100,20,"2012-08-28","HA1",2012,"M","Adult",3.44827586206897,0,0,3,11,0.214285714285714,14,3,11,0.214285714285714,14,0,4,13,0.235294117647059,17,4,13,0.235294117647059,17,0,4,14,0.222222222222222,18,4,14,0.222222222222222,18,0,6,17,0.260869565217391,23,4,19,0.173913043478261,23,0,6,20,0.230769230769231,26,4,22,0.153846153846154,26,0,6,20,0.230769230769231,26,4,22,0.153846153846154,26,0,7,22,0.241379310344828,29,4,25,0.137931034482759,29,0,7,27,0.205882352941176,34,6,28,0.176470588235294,34,0,7,28,0.2,35,7,28,0.2,35,0,8,38,0.173913043478261,46,9,37,0.195652173913043,46
"136",79774854,"79774854-2012-08-29",50,50,"2012-08-29","HA1",2012,"F","Adult",171.428571428571,0,0,1,7,0.125,8,2,6,0.25,8,0,1,11,0.0833333333333333,12,3,9,0.25,12,0,5,13,0.277777777777778,18,4,14,0.222222222222222,18,0,5,19,0.208333333333333,24,4,20,0.166666666666667,24,0,7,22,0.241379310344828,29,4,25,0.137931034482759,29,0,8,28,0.222222222222222,36,6,30,0.166666666666667,36,0,11,37,0.229166666666667,48,9,39,0.1875,48,0,14,43,0.245614035087719,57,9,48,0.157894736842105,57,0,14,47,0.229508196721311,61,10,51,0.163934426229508,61,0,32,85,0.273504273504274,117,17,100,0.145299145299145,117
"163",79797266,"79797266-2012-09-11",20,30,"2012-09-11","HA1",2012,"F","NotAdult",7880,0,0,1,11,0.0833333333333333,12,0,12,0,12,0,3,19,0.136363636363636,22,3,19,0.136363636363636,22,0,5,27,0.15625,32,5,27,0.15625,32,0,11,47,0.189655172413793,58,6,52,0.103448275862069,58,0,13,53,0.196969696969697,66,6,60,0.0909090909090909,66,0,15,58,0.205479452054795,73,7,66,0.0958904109589041,73,0,18,73,0.197802197802198,91,11,80,0.120879120879121,91,0,22,80,0.215686274509804,102,13,89,0.127450980392157,102,0,23,84,0.214953271028037,107,13,94,0.121495327102804,107,0,29,98,0.228346456692913,127,17,110,0.133858267716535,127
"168",79796354,"79796354-2012-09-11",80,20,"2012-09-11","HA1",2012,"M","Adult",51.2820512820513,1,0,2,4,0.333333333333333,6,0,6,0,6,0,4,7,0.363636363636364,11,1,10,0.0909090909090909,11,0,6,16,0.272727272727273,22,3,19,0.136363636363636,22,0,9,30,0.230769230769231,39,7,32,0.179487179487179,39,0,9,32,0.219512195121951,41,7,34,0.170731707317073,41,0,9,35,0.204545454545455,44,8,36,0.181818181818182,44,0,11,37,0.229166666666667,48,9,39,0.1875,48,0,11,43,0.203703703703704,54,11,43,0.203703703703704,54,0,12,46,0.206896551724138,58,12,46,0.206896551724138,58,0,15,64,0.189873417721519,79,15,64,0.189873417721519,79
"169",79769830,"79769830-2012-09-11",90,40,"2012-09-11","HA1",2012,"F","Adult",484.615384615385,0,0,1,5,0.166666666666667,6,0,6,0,6,0,4,13,0.235294117647059,17,2,15,0.117647058823529,17,0,4,14,0.222222222222222,18,2,16,0.111111111111111,18,0,6,22,0.214285714285714,28,5,23,0.178571428571429,28,0,7,24,0.225806451612903,31,5,26,0.161290322580645,31,0,9,28,0.243243243243243,37,6,31,0.162162162162162,37,0,10,39,0.204081632653061,49,8,41,0.163265306122449,49,0,11,45,0.196428571428571,56,10,46,0.178571428571429,56,0,12,52,0.1875,64,12,52,0.1875,64,0,16,71,0.183908045977011,87,15,72,0.172413793103448,87
