ID,ID.CapDate,X,Y,Capture.date,Grid,year,Sex,Age,treated.Y.N,EhungInt,EhungINF,EappInt,EappINF,H.poly.EPG,HpolINF
66883112,66883112-2012-06-06,70,100,06/06/2012,HA1,2012,F,Adult,0,0,0,0,0,0,0
67001638,67001638-2012-06-07,60,60,07/06/2012,HA1,2012,F,NotAdult,1,0,0,0,0,0,0
49829569,49829569-2012-06-06,30,40,06/06/2012,HA1,2012,F,Adult,0,0,0,0,0,0,0
66865371,66865371-2012-06-07,10,80,07/06/2012,HA1,2012,M,Adult,0,0,0,0,0,28.88888889,1
67007859,67007859-2012-06-08,20,40,08/06/2012,HA1,2012,F,NotAdult,1,0,0,0,0,144,1
66863517,66863517-2012-06-07,40,40,07/06/2012,HA1,2012,F,NotAdult,0,0,0,0,0,0,0
66891022,66891022-2012-06-08,90,10,08/06/2012,HA1,2012,M,Adult,1,1892.307692,1,3646.153846,1,92.30769231,1
66855330,66855330-2012-06-08,10,0,08/06/2012,HA1,2012,M,Adult,0,0,0,0,0,0,0
66889018,66889018-2012-06-06,0,20,06/06/2012,HA1,2012,F,Adult,1,0,0,0,0,17.85714286,1
66894117,66894117-2012-06-06,80,30,06/06/2012,HA1,2012,F,NotAdult,1,0,0,464.516129,1,19.35483871,1
49847790,49847790-2012-06-06,10,90,06/06/2012,HA1,2012,F,Adult,0,0,0,0,0,4.761904762,1
66882554,66882554-2012-06-06,10,10,06/06/2012,HA1,2012,M,NotAdult,1,420.8333333,1,0,0,0,0
49811771,49811771-2012-06-06,10,10,06/06/2012,HA1,2012,F,Adult,0,0,0,0,0,33.33333333,1
66854826,66854826-2012-06-06,20,60,06/06/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
52842550,52842550-2012-06-06,30,100,06/06/2012,HA1,2012,F,Adult,0,0,0,0,0,15.78947368,1
66890033,66890033-2012-06-07,30,50,07/06/2012,HA1,2012,F,Adult,1,0,0,0,0,4.04040404,1
66880622,66880622-2012-06-07,100,30,07/06/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
66861012,66861012-2012-06-07,100,80,07/06/2012,HA1,2012,F,Adult,0,0,0,0,0,42.85714286,1
66855566,66855566-2012-06-07,90,30,07/06/2012,HA1,2012,M,NotAdult,1,0,0,0,0,0,0
67125021,67125021-2012-06-19,0,0,19/06/2012,HA1,2012,M,Adult,0,0,0,0,0,0,0
66889018,66889018-2012-06-19,0,20,19/06/2012,HA1,2012,F,Adult,1,0,0,0,0,0,0
66890033,66890033-2012-06-19,0,40,19/06/2012,HA1,2012,F,Adult,1,0,0,0,0,0,0
67279086,67279086-2012-06-19,10,40,19/06/2012,HA1,2012,M,Adult,1,294.4444444,1,0,0,5.555555556,1
49811771,49811771-2012-06-19,10,20,19/06/2012,HA1,2012,F,Adult,0,0,0,0,0,7.142857143,1
66865371,66865371-2012-06-19,10,10,19/06/2012,HA1,2012,M,Adult,0,0,0,0,0,0,0
67007859,67007859-2012-06-19,20,10,19/06/2012,HA1,2012,F,Adult,1,165.5172414,1,0,0,3.448275862,1
67001638,67001638-2012-06-19,40,50,19/06/2012,HA1,2012,F,NotAdult,1,0,0,0,0,0,0
52842550,52842550-2012-06-19,50,80,19/06/2012,HA1,2012,F,Adult,0,142.8571429,1,0,0,42.85714286,1
67126571,67126571-2012-06-19,60,60,19/06/2012,HA1,2012,F,NotAdult,0,7216.666667,1,0,0,0,0
67076635,67076635-2012-06-19,70,50,19/06/2012,HA1,2012,F,NotAdult,1,95828.57143,1,0,0,0,0
66883112,66883112-2012-06-19,80,100,19/06/2012,HA1,2012,F,Adult,0,0,0,0,0,0,0
66878865,66878865-2012-06-19,80,80,19/06/2012,HA1,2012,M,Adult,0,0,0,0,0,6.976744186,1
66855330,66855330-2012-06-19,100,90,19/06/2012,HA1,2012,M,Adult,1,0,0,0,0,0,0
67259597,67259597-2012-06-19,100,30,19/06/2012,HA1,2012,F,Adult,0,0,0,0,0,0,0
