"","dist","estimates","lowerCI","upperCI","estimates.tothosts","lowerCI.tothosts","upperCI.tothosts","estimates.EimNHprev","lowerCI.EimNHprev","upperCI.EimNHprev","estimates.HpolINF","lowerCI.HpolINF","upperCI.HpolINF","estimates.Sex","lowerCI.Sex","upperCI.Sex","estimates.Age","lowerCI.Age","upperCI.Age","estimates.capdate1","lowerCI.capdate1","upperCI.capdate1","estimates.capdate2","lowerCI.capdate2","upperCI.capdate2","estimates.intercept","lowerCI.intercept","upperCI.intercept","estimates.raneff","lowerCI.raneff","upperCI.raneff"
"1",10,0.190572948641916,-0.287051518961449,0.605011200779497,0.135926185710404,-0.00649808014185393,0.282779710989365,0.435181617090343,-2.06747607285601,2.53968632087971,-0.216331177067415,-1.4737150812213,0.916673846615438,-0.521841221990173,-1.74589239833274,0.5405577544261,1.20777495220681,-0.103624151891314,2.68544339513195,-3.08436633681861,-13.9605450108091,7.76590423101253,-20.3793267969788,-32.4509905065597,-9.54454479515399,-3.24187078488885,-4.72455828778919,-1.91379381878797,1.47683646924477,2.67116247488111,0.387008093614314
"2",14.1,0.310184660801217,-0.181799608261506,0.808359438739194,0.122569309413244,0.0291573656921491,0.223474663978276,3.00037688787656,0.396416617736813,5.54208204358308,-0.0330201067614877,-1.29842147638923,1.08654482661431,-0.503040461379526,-1.67698043456007,0.512637152188077,1.23791187360756,-0.0674123648007342,2.67160289653283,-5.46383568034504,-17.028722894129,6.21148960557672,-18.0923121899209,-29.7952598238815,-7.60156485832921,-4.39206081276116,-6.40652156632568,-2.73229703700716,1.30001234634565,2.3916601135731,0.30899870886328
"3",20,0.350300729672823,-0.165766350192946,0.881438072370851,0.0617174433667909,-0.0074350306172966,0.134582030762748,2.5976441045491,-0.525535307137012,5.71444259806429,-0.190296478521087,-1.45166641803237,0.988693817630164,-0.456076656961957,-1.63813300090939,0.598724210785157,1.24241800714434,-0.114822981733513,2.72659536124594,-3.50621940353174,-14.8591675165383,8.02788669931398,-19.1774707851684,-31.2664527199071,-7.98584989367724,-4.09319187834863,-6.24433063401202,-2.28489231148854,1.43380468144653,2.63499844512583,0.426859640392186
"4",22.4,0.166618463855669,-0.435759802928991,0.773355385590606,0.064143165934164,0.00697696671479544,0.127183301489581,2.8298922212973,-0.456663140012915,6.0546182567968,-0.172499853939678,-1.46388493906199,1.01694732395723,-0.560676458451946,-1.83127989109459,0.488389320278718,1.28544881281006,-0.0148345292740274,2.85295665036771,-5.84556794035522,-19.0233452271077,6.87174486687193,-17.6808400579119,-30.8765245231876,-6.52742403667516,-4.43822788970239,-6.87612070040795,-2.43019816751266,1.50537850200396,2.79580191938176,0.432028185609586
"5",28.3,0.285651957356145,-0.333155602725086,0.92073032882653,0.0542387320402788,0.00514914173320266,0.10820281726322,2.71738291479378,-0.740148259931871,5.97293709580495,-0.168767175226075,-1.46568109851606,1.0158270937773,-0.54914516599097,-1.75816414156461,0.511660487487172,1.26559713811164,-0.0168399439045852,2.75016229510809,-6.14331302175235,-19.6480840886371,6.85400815026952,-18.8720947802765,-31.304339524983,-7.41701590291347,-4.60786102012273,-7.09718907646978,-2.49871732438025,1.44312171417185,2.68874892646051,0.391571780809509
"6",30,0.321666953354467,-0.313890150345875,1.00032012929539,0.0382584726810108,-0.000402513699769166,0.0793715427605832,3.15299457344129,-0.346191501935713,6.58095668294485,-0.200866016968548,-1.46250976304769,0.94308608593206,-0.517891272279744,-1.72471159228457,0.490678562445206,1.30415172240957,-0.0172979810147493,2.78981365434679,-4.94854360850119,-17.6456306714639,8.0552037460489,-18.8873113064534,-32.0907676252604,-6.84357251299344,-4.52814205662721,-7.12195768285852,-2.42518644748635,1.45055649833849,2.73540485807031,0.379067137142419
"7",31.6,0.437490564695018,-0.199450850933702,1.12511650625097,0.0270350786824602,-0.00631169617516026,0.0614790348819744,3.79166844872194,0.122907269254832,7.59096295414182,-0.21953182652101,-1.47990996534514,0.913573274038254,-0.566112091673852,-1.82651337255425,0.488235151055897,1.23617082951625,-0.0997449452428563,2.82093738849579,-3.12389677332336,-16.2075742825162,9.81058537865298,-19.4113438524185,-32.5403652166832,-7.53910712561181,-4.63346775755539,-7.22607057690959,-2.46258184306842,1.47587691228046,2.74881157292348,0.423881231399908
"8",36.1,0.545476168113232,-0.103652676942242,1.23445225650594,0.0237267119153465,-0.00488196809015828,0.0550105952318782,5.98925717615907,1.95545811966688,10.397079021535,-0.132160808582128,-1.38507641877007,1.02471831734686,-0.661352155457049,-1.85588827796559,0.36036764375047,1.18779988927645,-0.117270666016806,2.68900046300452,-1.93712038043373,-14.983278775453,11.0181405529604,-18.6306130602731,-32.1223945271903,-6.19174176904347,-5.24295533181538,-8.05001376248393,-2.87305174737043,1.41412941681172,2.64467503135977,0.34796873104962
"9",40,0.701818415076542,0.0477469722806316,1.43260164663406,0.0218938902048594,-0.00301140621126452,0.0482920074204992,5.94605671387265,1.91739716549529,10.3266772189084,-0.133776901973094,-1.4102007646554,0.964451449343822,-0.619613905853636,-1.76808688002802,0.387939173146691,1.21549241600759,-0.0394767458855942,2.67608082003552,-1.66341252117837,-14.5079971182893,11.4881100717345,-20.5353761281999,-33.4819503538371,-8.02884275287726,-5.53935909410053,-8.29504413900857,-3.18776172974627,1.36332237733697,2.51122762753975,0.322032762103069
"10",50,0.569217426727626,-0.187590510632894,1.42679583100726,0.00706755706226625,-0.0123288504266041,0.0263784469872441,6.58148148786246,1.5361628439866,12.4729232718952,-0.224651643997206,-1.5706002923677,1.00913384437608,-0.631911652378598,-1.9092331655932,0.482213023358335,1.2012227576191,-0.165609456722153,2.78498375407299,0.410497668260112,-12.7625566473163,13.2065238513229,-17.9899310660761,-31.0906926882263,-5.49521927932531,-4.87413411649379,-8.12603742765537,-2.2759841528909,1.63210815572206,3.02297848256216,0.568575653979321
