"","dist","estimates","lowerCI","upperCI","estimates.tothosts","lowerCI.tothosts","upperCI.tothosts","estimates.EimNHprev","lowerCI.EimNHprev","upperCI.EimNHprev","estimates.HpolINF","lowerCI.HpolINF","upperCI.HpolINF","estimates.Sex","lowerCI.Sex","upperCI.Sex","estimates.Age","lowerCI.Age","upperCI.Age","estimates.capdate1","lowerCI.capdate1","upperCI.capdate1","estimates.capdate2","lowerCI.capdate2","upperCI.capdate2","estimates.intercept","lowerCI.intercept","upperCI.intercept","estimates.raneff","lowerCI.raneff","upperCI.raneff"
"1",10,0.125329369625558,-3.23227262790811,3.07185020341719,-0.0268507928933399,-0.103240861444882,0.0397015045112698,0.521667810883889,-3.52456986090904,3.96233588582315,-0.320024176603319,-1.60702065607483,0.83936900014144,-0.601803137450773,-2.03605433127909,0.582601809487911,1.20129386902411,-0.192162078912819,2.80464218281966,4.35387328386733,-9.33885954865577,18.4461365876146,-19.8480624042108,-32.0064379307147,-9.24161631401175,-1.93603296728714,-3.74468594062101,-0.100887971348008,1.77193570250266,3.31664427537009,0.705949061860843
"2",14.1,-0.357135648922513,-4.08022429759224,3.19155295494475,-0.00596573334284914,-0.0481610798386887,0.0351169764052984,2.37141694610413,-1.79414125298303,6.14342248980071,-0.26205713368749,-1.54186538248667,0.901278710597843,-0.592387899665396,-1.80187690746293,0.517397831029506,1.25952016685145,-0.130576738929065,2.77228709470245,1.49261169917597,-12.0405241754556,15.4219261975721,-19.2558961726046,-31.0056324030048,-8.60541852967077,-2.39671588109953,-4.58854032769707,-0.3382827678531,1.64138226700378,2.99412825068185,0.644988486614769
"3",20,-0.502903770090351,-4.92078041371699,3.6646950613005,-0.0148716343008268,-0.0464032608717927,0.0151939612112045,1.5062832917386,-3.65752228330154,6.36069868606682,-0.298628997276593,-1.59242529856484,0.848407816335904,-0.575215512886966,-1.98874245323771,0.560857171784586,1.19261920241566,-0.218975337007046,2.83847391262638,5.39509397425451,-9.75202141274713,20.3687101864014,-18.8195827167497,-30.7545602382655,-8.35665809876677,-1.74107512178561,-4.14400980487262,0.514308481756935,1.75205670118992,3.21595776773268,0.673595803573162
"4",22.4,-1.72974817736178,-7.27833950720361,3.19074754158955,-0.00418760965467887,-0.0289789626312622,0.0188100782952322,1.56433414169081,-3.57376805923264,5.70477446701597,-0.342372564365962,-1.62176297852096,0.795465265012403,-0.61300720627559,-1.86809104248504,0.488861303671787,1.25581080248223,-0.122553197114023,2.77173957977168,2.02330965697602,-13.8634612043379,18.3055312968015,-19.4632977966356,-32.2302939365373,-8.8355874245299,-1.8239110441976,-4.43274071516891,0.730166478488639,1.68235934774606,3.04485104041999,0.624080379446951
"5",28.3,-1.01907963462527,-6.74924249089616,3.95373595879185,-0.00426627290967117,-0.0235600609494214,0.0145689291076129,1.39574432360422,-3.7548405817277,5.58303632179044,-0.309974218895712,-1.624308832576,0.826124221091184,-0.589661210399566,-1.89585234436414,0.546472400968666,1.21489115922335,-0.121328233254186,2.78851121912398,3.35810900949062,-12.8687068670599,18.6136018549248,-19.5568205213133,-32.0611373036458,-9.21676172144259,-1.87090321342245,-4.57477835420812,0.68778752221653,1.64664637393321,3.03150569633348,0.562733036313112
"6",30,-1.15647029538269,-6.90982149930396,3.95653863688786,-0.00405790621691086,-0.0198555240224691,0.0112656135246624,2.4891670785947,-2.29846218072519,6.69238445904466,-0.285868896172193,-1.57980933932581,0.792236944691652,-0.603638518048095,-1.89919752887724,0.494677936736373,1.26249301326783,-0.116876896448063,2.76082626451909,3.07243463413148,-12.738294644734,19.1548864027499,-19.2227044385813,-30.6371873353149,-8.49600923849308,-1.98036818460915,-4.60411923593755,0.527876262898456,1.62512047496179,3.04570361743899,0.54869012502942
"7",31.6,-0.486300260958479,-6.42146831359138,4.89318552341751,-0.00284322781627903,-0.0173347481739264,0.0107183894375463,3.24476138380599,-1.952758547781,8.21089369494799,-0.27244875590745,-1.53291146354796,0.843697883780454,-0.607311123008129,-1.92240363964406,0.474085266830548,1.26987151845519,-0.0907638348452975,2.84574557749722,2.91869374727229,-13.657585719372,19.8135772702292,-19.2770395622392,-31.0131590689994,-8.4652968327957,-2.33129583411966,-5.09337139921279,0.256845267535264,1.64020394659508,2.94699790848964,0.592245924989837
"8",36.1,-0.436996487855441,-6.46573436325421,5.16433352576533,-0.0028410911737889,-0.0153014866779568,0.00901681736724237,5.35349710728812,-0.2150693535544,11.2455358583689,-0.238092413003918,-1.50735781051471,0.921666529895694,-0.652692955082577,-1.98180464702358,0.438408621488188,1.26161605339487,-0.0804792221327632,2.82048105070266,2.26345251406365,-14.2009385513107,19.3762070428148,-18.5717922307038,-30.9635694503537,-7.70487277722218,-2.67915201215392,-5.59232836846011,0.11042125454821,1.67455077857991,3.09311880436723,0.584732120819472
"9",40,-0.0981247161163878,-6.3118493869019,5.5821046187863,-0.00256087952080971,-0.0133528329851202,0.00808785677215666,5.66985285119599,0.0244600629777365,11.5192272467325,-0.243257555142408,-1.54507218108263,0.905543384116917,-0.63468540596672,-2.00029533983268,0.484272856778117,1.27241529238048,-0.091211908107012,2.8374774918722,3.1668957454262,-13.8615842648418,19.3234959785385,-18.5274309904887,-30.7495996568009,-8.13077611514545,-2.76483265340378,-5.76944198545346,-0.0536577564886897,1.63726444576584,3.02680003833531,0.486227743244107
"10",50,1.99820681715654,-5.66261598614506,8.97393495867711,-0.00339425996316503,-0.0118510001902632,0.00455294673205708,6.47535882732606,-0.384255806807886,13.8579709434506,-0.250173718730848,-1.5184913457939,0.922034817628198,-0.632193454779663,-1.95257592424772,0.495244997614758,1.258046677658,-0.122472084070227,2.85925005007323,6.39659361055049,-11.1838997468156,24.1978964668825,-18.2747987828521,-30.0393360863351,-7.46387800226265,-3.01060188542865,-6.4385363307348,0.253276293154545,1.64683289765708,3.08891976112052,0.458840574307059
