"","dist","estimates","lowerCI","upperCI","estimates.tothosts","lowerCI.tothosts","upperCI.tothosts","estimates.EimNHprev","lowerCI.EimNHprev","upperCI.EimNHprev","estimates.HpolINF","lowerCI.HpolINF","upperCI.HpolINF","estimates.Sex","lowerCI.Sex","upperCI.Sex","estimates.Age","lowerCI.Age","upperCI.Age","estimates.capdate1","lowerCI.capdate1","upperCI.capdate1","estimates.capdate2","lowerCI.capdate2","upperCI.capdate2","estimates.intercept","lowerCI.intercept","upperCI.intercept","estimates.raneff","lowerCI.raneff","upperCI.raneff"
"1",10,-0.366295934419573,-1.21564919710292,0.402779126485908,-0.161464171799703,-0.304520214634533,-0.00557654022968199,2.88732931243622,-4.87774488295619,10.544078510106,-0.989699575827063,-3.48018712503504,1.57290917600656,0.228627459111911,-1.93852675278387,2.38748074191316,0.140153367195821,-2.20338271235689,2.42032023573424,5.68652409148058,-4.98920205832751,15.4309953598963,0.776145085169981,-5.81426023124038,7.66720618585622,8.10142303875351,5.03963258887962,11.1491488652693,0.86080217147862,2.21876573710892,0.0306934342209891
"2",14.1,-0.584692134563246,-1.48786946815793,0.291510995835916,-0.0890866199497068,-0.17931073316948,0.00350842478312862,2.182681593076,-6.12147389635122,10.6074404709103,-0.902808465906749,-3.38076673968943,1.54787972718458,0.0756853361887243,-2.08890803741752,2.11517498816764,-0.315026841647811,-2.58001437284019,1.99817674896144,6.11060138325861,-4.96936069046394,16.5788418743673,0.995870832417847,-5.48903076735176,7.24624402284965,8.94271607255067,5.02241895060952,12.7016116480419,0.786890929824958,2.03309750084451,0.0297828066426685
"3",20,-0.399749382418045,-1.41449155492651,0.656430798014514,-0.100935619015838,-0.175891653947759,-0.0183916521122969,2.36230801394317,-5.7860480150603,10.8628126622677,-0.856646265716848,-3.14429414000729,1.43500964817265,-0.143045815951572,-2.18668969817487,1.78348660730895,-0.281433410986116,-2.47793403094913,1.97272368730539,10.8037049081558,-1.73191720658772,22.5967008610617,1.27769167715019,-5.4254297822012,7.81671861835037,10.2476209093432,5.86215759473155,14.2875956461127,0.936760552275566,2.28905849848851,0.0491017801991467
"4",22.4,0.558970959965227,-0.720500795816855,1.81690996945379,-0.0578047647340474,-0.116491598849044,0.00279731722572823,1.98841023698125,-6.87559304551675,11.0852868563913,-0.866986887981614,-3.33897552711666,1.60799528619527,-0.343043824357618,-2.44683367259501,1.6371379213461,-0.469368930691385,-2.84708660402089,1.86915146811885,10.7135854089484,-3.45630228463085,23.8923476223896,-1.21600259458531,-8.70083029578885,6.02593092751532,7.9747305560146,3.13525429271994,12.9433479256108,0.941682153448507,2.34111724718917,0.0513077927109189
"5",28.3,0.960092001749902,-0.594996786601928,2.47106597570693,-0.0472770099412469,-0.097714533447242,0.00417451693815668,2.43037636980034,-7.1401149751571,11.6458652290461,-0.823427609887182,-3.15197574171056,1.53433630221121,-0.553545469499409,-2.59493045379059,1.44449057158176,-0.603193878119207,-2.91961523890922,1.72624326702427,11.0216174524244,-2.83011131678363,24.2347880985275,-2.1838077576778,-9.78463280129617,5.46676955977869,7.17100817084014,1.62520177362269,12.6536841768519,0.918731064835695,2.24363382553367,0.0420865940205453
"6",30,1.10848195401658,-0.554064110658346,2.74736736155331,-0.0444650062945504,-0.0848156014864028,-0.00193264007359458,0.757353008645593,-8.55569099082108,10.216652987901,-0.703254912195153,-2.95945751412381,1.69079226900253,-0.681789512033511,-2.71055672879507,1.30491863738125,-0.5901617365612,-2.88857519761333,1.75863552514275,12.2031921818251,-0.795252297469915,24.9033685186329,-3.12853109821252,-10.5153046663829,4.35787605678699,7.60348490479577,1.81067996530982,13.1300165517946,0.936955105763291,2.30799969796637,0.0457779438791495
"7",31.6,0.922158937632887,-1.76730311244972,3.61398638266197,-0.0284946683148643,-0.0659366671754717,0.010373287207703,0.053894011716655,-10.1572186230536,10.4950266239957,-0.634039509645147,-3.14684438580605,1.92819291611957,-0.682877836757791,-2.71907008966962,1.43902913936802,-0.376808681786573,-2.78970988590736,2.12234388483635,9.46418819936939,-4.29599728947898,22.6251505369502,-3.26684457800961,-11.6790703960204,5.33627069452405,7.1624904381354,-0.845192190699881,15.4348143171437,0.942919824748922,2.31606842165107,0.0413305564940503
"8",36.1,0.921574621336863,-2.36838159262964,4.05490989487747,-0.0265036065639765,-0.0612978353095801,0.00825957877955005,-0.674099468229754,-11.4721905910699,9.96443825140519,-0.760266818270187,-3.23772572186455,1.70103136598477,-0.641689617048046,-2.68310410298082,1.42249439545662,-0.241021700855775,-2.58622881658497,2.09527996810928,10.5644863843177,-3.58664625581368,24.4158850018094,-3.17843808367388,-12.11963049876,6.04345451457326,7.70625648378874,-1.5571752425381,16.9324255124133,0.939062874626607,2.36230893317296,0.0398614813876362
"9",40,-0.309721064893855,-3.71616044617383,3.05354178383455,-0.0321111170125732,-0.0624044898377509,-0.00128229799316043,-1.6054921353252,-12.2288997619733,9.03629989630059,-0.470369543406043,-3.04154024865272,1.99580212829815,-0.431564939934132,-2.42594521723172,1.52709801112162,-0.108139420180624,-2.45339789988743,2.27806052275749,12.1683851467777,-2.36771922734953,25.4622778642137,-0.256230822138354,-9.84370599890346,9.55600216440456,11.6427723917029,1.71052283680574,21.5158652771989,0.912860821651595,2.29890133135517,0.0408048574835219
"10",50,-0.270945419354188,-4.45779901947937,3.7489133534305,-0.018764836263599,-0.0454896998579355,0.00895108951476355,-3.42125588911862,-16.4381970976049,9.63769477975789,-0.709062581445514,-3.26528425983099,1.89405975763457,-0.695437592036329,-2.83467716869745,1.37777590260871,-0.105845475991772,-2.44182119947991,2.22697698439447,9.06216292633168,-6.29194374369322,23.5158557888449,-1.83649900204407,-11.5823295263751,8.02645343071686,11.2307783780371,-1.04681274850168,23.7474616955521,1.11220159186823,2.5695150242884,0.0507987503202311
