"","dist","estimates","lowerCI","upperCI","estimates.tothosts","lowerCI.tothosts","upperCI.tothosts","estimates.EimNHprev","lowerCI.EimNHprev","upperCI.EimNHprev","estimates.HpolINF","lowerCI.HpolINF","upperCI.HpolINF","estimates.Sex","lowerCI.Sex","upperCI.Sex","estimates.Age","lowerCI.Age","upperCI.Age","estimates.capdate1","lowerCI.capdate1","upperCI.capdate1","estimates.capdate2","lowerCI.capdate2","upperCI.capdate2","estimates.intercept","lowerCI.intercept","upperCI.intercept","estimates.raneff","lowerCI.raneff","upperCI.raneff"
"1",10,-1.45198954641571,-6.49370544578252,3.4203737495168,-0.162629415069321,-0.307053346822639,-0.010399148055795,2.38628629031117,-5.13828730151356,9.85734424897183,-1.05173760817951,-3.50963077959988,1.42370915095326,0.122353029057879,-2.02074228219601,2.22429943273302,0.107641727607934,-2.19628407998668,2.37491079233397,6.01367788537997,-4.10401526062887,15.7475678867593,-0.168684869465339,-6.47159813760735,6.21633424534487,8.02679671851726,4.86429922241335,10.9835743734703,0.824201368622206,2.06539226199141,0.0443339002254491
"2",14.1,-2.9073429522891,-9.71276934286751,4.15498619737131,-0.0969884323276813,-0.190432218902552,-0.00137485634653988,2.81187388027513,-5.99312849745953,11.3679976884957,-1.11372359343819,-3.50202216418988,1.32420554908826,0.0250178495543442,-2.13877993256281,2.08979921804929,-0.278901915433254,-2.58304754908894,1.97177978042508,7.26438588610239,-3.78940015913882,17.7351285813798,0.237491061439699,-6.28812346273366,6.99763803279007,8.57580443786802,4.48892126089831,12.5074113588181,0.839066364159525,2.17370481243153,0.0326828670749595
"3",20,-7.33545034686156,-17.5518147610877,2.39435313376516,-0.111987107483002,-0.187376498583891,-0.0331532199331378,1.58661471071734,-6.87301492671053,9.93294237702117,-1.0941750042763,-3.39773143452423,1.1858994429447,-0.297633986922822,-2.31353619219332,1.65531874089448,-0.495112138766292,-2.70342628926985,1.69780347666006,10.9219543859911,-0.719559474797685,22.4976270823729,1.26433533318899,-4.80508523516923,7.99686030334607,11.823734916282,6.83369708861859,16.5956133266788,1.12995205894831,2.58841270836408,0.0507419191129459
"4",22.4,-1.31282623696746,-12.9031799945104,10.6210746604692,-0.0596111635464181,-0.11765079169341,0.00494618992650355,2.33256227085682,-6.93617832700937,11.3687401976264,-0.942044238635606,-3.4581078081937,1.557595252719,-0.267803740830504,-2.3975280690862,1.81858309683222,-0.259996099359778,-2.5644440508811,2.07908593525746,9.80528635939022,-4.21443657482179,22.8973868558217,0.246846076961214,-6.52435504507467,7.11756257795033,9.45904906926392,3.47763798949608,15.0855820556314,0.956120611290011,2.27799636492089,0.0381649850907744
"5",28.3,-1.38926604594717,-13.6488947195306,10.5311232644507,-0.0519495248152827,-0.102558619710765,-0.000928074355748683,3.33238910733393,-6.13617607906019,12.7099443209879,-0.911031003617412,-3.25193387100299,1.52846523330401,-0.333801128384272,-2.46592354835087,1.68881541574956,-0.253523605049649,-2.68059890131334,2.0221625817699,9.95623485323758,-3.59912515771911,23.5878714319917,0.402580382027619,-6.23200075927472,7.23206991595083,9.57635472141954,3.76979178874266,15.3611488343719,1.01730941793719,2.48597512720446,0.0510624770836463
"6",30,-1.52810552844556,-14.3680304356398,11.020459175538,-0.0463868934549709,-0.0866085127414889,-0.00237024443969453,1.44473982972589,-8.17878266289716,11.2825484003734,-0.746860407460577,-3.18950612319275,1.69937564097222,-0.453188622675167,-2.57725687294161,1.52501757499298,-0.236647513115111,-2.51397205929555,2.09132069399155,10.4544130779408,-3.00647247547637,22.8400141610291,-0.416633304061878,-6.53079776545082,6.16153685864878,10.2108281486022,4.05913781463275,16.0226807179697,1.02308575757226,2.49193316097219,0.0443890785655946
"7",31.6,-2.35855773257162,-15.6817952960539,11.2163033426204,-0.0331131598998494,-0.0696445693325055,0.00354044034001594,0.760871308711649,-9.46925617981126,11.2624066482184,-0.582774341653914,-3.0151126978305,1.86639181490506,-0.563426003796091,-2.74775708496014,1.5189690077451,-0.162971257296574,-2.53472992189852,2.13641501072466,8.56373972817211,-4.89782868482121,21.4658189089667,-1.11106148745897,-7.20355597041245,5.35967801984117,10.0570439579785,3.58474541410729,16.1913179460545,1.07073978282643,2.45633216949301,0.0567329992721962
"8",36.1,-0.0333263119982189,-14.5795327029552,14.0313453293138,-0.0299482844338866,-0.0622207767474292,0.00450413771978367,0.147078249580689,-10.4999129366088,10.7114024514802,-0.647080244480601,-3.13216849811183,1.87116163871544,-0.467361868606506,-2.59197405287901,1.55923192428559,-0.0894720301805734,-2.5317550617066,2.26369632612704,10.2043473821109,-4.64492272342082,24.2883894778341,-1.33605506838028,-7.66741150405096,4.91496320448664,9.92266281623871,3.30997542005032,16.3649895580965,0.926231120681768,2.31893027504297,0.0422803012294568
"9",40,-0.00612006991884216,-14.1050251454942,14.2836657168874,-0.0313708115377463,-0.0578776087134323,-0.00407675544811669,-1.75503341104004,-11.8782203970815,8.41195133759036,-0.553476722247975,-3.0707808691768,1.91453977529727,-0.451122186447707,-2.46583537427339,1.50518749011387,-0.174282120592075,-2.47232369990297,2.09526147744279,12.4039354356589,-1.07912568492729,25.8468648055332,-0.97190304837352,-6.88942678844839,5.30314080582566,10.9274850994143,4.63347884403828,17.0049515991515,0.881582595464172,2.20906294045654,0.0428477317045536
"10",50,-6.74674492122053,-22.497789324903,8.94613444347946,-0.0188745337299035,-0.0422782768438726,0.00460711266950772,-4.62402439339979,-16.888155127421,8.388385008371,-0.897348756364267,-3.33891449374168,1.5368597242153,-0.748358005429566,-2.83330637285919,1.29839376129493,-0.267044657818336,-2.56140958725417,2.1656159273937,8.26636800815786,-6.55532435683634,23.0309754266166,-2.00899605554711,-7.99590203661838,3.92175688312782,12.4717386943925,5.26744332456644,19.657963174242,1.0882337325926,2.44787217223789,0.05115793952495
