"","dist","estimates","lowerCI","upperCI","estimates.tothosts","lowerCI.tothosts","upperCI.tothosts","estimates.EimNHprev","lowerCI.EimNHprev","upperCI.EimNHprev","estimates.HpolINF","lowerCI.HpolINF","upperCI.HpolINF","estimates.Sex","lowerCI.Sex","upperCI.Sex","estimates.Age","lowerCI.Age","upperCI.Age","estimates.capdate1","lowerCI.capdate1","upperCI.capdate1","estimates.capdate2","lowerCI.capdate2","upperCI.capdate2","estimates.intercept","lowerCI.intercept","upperCI.intercept","estimates.raneff","lowerCI.raneff","upperCI.raneff"
"1",10,0.11245975106511,-1.41156807639815,1.54289043475854,0.109559003830011,-0.00917668178534784,0.242762112400599,-1.99207601049596,-4.40058047314162,-0.00821342610113223,0.473221981406677,-0.418035964737892,1.36563620201096,0.2418863427235,-0.599507123519428,1.10369008964845,0.332765588337698,-1.05989946723459,1.56525741762728,-1.18969986236582,-8.60407598651009,6.15937347076909,-2.03839981504371,-9.40603181777935,4.71616036435906,-2.3766995349707,-3.63843883246459,-1.35433950011859,0.839111942063572,1.8614732482855,0.0504864990773613
"2",14.1,0.376324071313598,-1.37907427164163,2.1266326565666,0.0703840531762186,-0.010946176895675,0.164199199646612,-2.44291102112301,-5.49888110359178,-0.112404773627253,0.410616453507526,-0.505356537030643,1.32897362542221,0.256854938417927,-0.617606889868359,1.12853030373567,0.35391889965737,-1.02107841879909,1.54369300140285,-1.78990424864166,-10.2492826259365,6.12452642507596,-2.5271304615877,-10.0075117715232,4.69979481983481,-2.45510960150992,-3.92604729187668,-1.21963088923656,0.952537451924154,2.08827077394827,0.0655618895297841
"3",20,1.5446335535723,-0.326944583150733,3.62073679694427,0.00508750859117314,-0.0571795001311282,0.06705507968708,-3.6161280187979,-7.17478354588143,-0.659888706845053,0.20127523071659,-0.784932309975709,1.12438170955097,0.264059815974268,-0.616551702709597,1.16451718887873,0.276537110459804,-1.08885108329923,1.53758339128014,2.41576298626704,-5.86743170332056,10.6785920788929,-5.44749864332055,-13.1651966565667,1.72011514401753,-1.86310697167746,-3.41241541065147,-0.515538164228431,0.949339564489307,2.1533577316651,0.0634190416866173
"4",22.4,2.41689644562889,0.241703419029371,4.79500815221625,0.0127020590227534,-0.0339968079445227,0.0632382088502517,-2.76370076287802,-6.34478597506688,0.225875643811471,0.190152370385644,-0.706513615377828,1.04399493753189,0.254925760552835,-0.591778947232668,1.08538989456757,0.369719358757018,-0.940120258097538,1.54587778840627,1.41304695566022,-7.36971339779383,10.21434319726,-6.02242846450233,-14.3087124466043,1.46854110549132,-2.33907207961648,-3.98383933596399,-0.901172060125332,0.751248838607747,1.795828608829,0.0450322872311522
"5",28.3,2.11971061710088,-0.142706896373021,4.55373360020752,0.00688514789124658,-0.0335238942915162,0.0466356307495265,-2.95908454459541,-6.87321262812769,0.32120592354839,0.200411540698279,-0.735675519612314,1.03642778762092,0.259073463181783,-0.560604758103155,1.07226070065499,0.401584419468703,-0.908862818538464,1.62195166279876,1.96159604243776,-7.05209674934139,10.6626092311143,-5.7267184396232,-13.7681690430013,1.65257868730381,-2.17661731338981,-3.8001209876187,-0.626067346770695,0.813899556012542,1.86898789828266,0.051505070901507
"6",30,1.74671303970463,-0.652913104900111,4.36334398401453,0.00753431035614384,-0.0233363454710214,0.0396505818691592,-3.49873454928091,-7.53326576461504,0.0178573458703517,0.238115314671521,-0.711445462877587,1.10807757927738,0.259775303873803,-0.56173504020522,1.10501093296305,0.347928878100738,-0.948730655670272,1.5358158714996,1.50021466843871,-7.13266020575563,10.4032513131653,-4.99625084594235,-13.5775605983259,2.32167719622121,-2.08782979104836,-3.64093561113606,-0.617471591792944,0.823326114138257,1.89920077638763,0.0578515637411098
"7",31.6,1.88161797261846,-0.676588804667596,4.63047526989976,0.00516139827434556,-0.0226274762285758,0.0317727340336269,-2.32284125162708,-6.87594437663643,1.47965643343627,0.26730116312892,-0.691661203456135,1.14330377922576,0.231130212988568,-0.595321616293188,1.05211619150046,0.417190934326319,-0.843125649967252,1.59520093508138,1.57366638844675,-7.10211257806029,10.2715860791295,-5.2887310367779,-13.5859809053616,2.38707224352828,-2.19185505451983,-3.84246292815261,-0.639664585432491,0.787907161573376,1.83822839659954,0.0511271511155406
"8",36.1,2.02450252945645,-0.721649686811244,4.97279426395379,0.000756866962301793,-0.0227850045682176,0.0243664444281987,-2.04226081634515,-6.55222467023052,1.96108324742355,0.263369742730565,-0.620919545069933,1.16264717409781,0.243648287813024,-0.585455568711806,1.06303585944765,0.478557412411654,-0.78680924934933,1.63316218558405,2.42186185329876,-5.82493734791143,11.3594597871032,-5.7954385103988,-14.0553678050781,1.90731556072482,-2.13785766208654,-3.73312610865307,-0.582223541098056,0.729851140463408,1.71423994426762,0.0374312213265227
"9",40,2.22986583140214,-0.484716959432044,5.19976368225232,0.0025397963329573,-0.017530533629961,0.0222324513389976,-1.9892091005759,-6.75535957500436,2.20850626812286,0.267669198534437,-0.636826198333419,1.11266075126193,0.24341710947819,-0.587510543704252,1.05924104701807,0.484675752235427,-0.796256358013156,1.62782278564339,2.12599029931827,-6.28710040626594,10.5725515283144,-5.92425589675239,-14.2772062440336,1.81852206475415,-2.25358790404925,-3.87128468093368,-0.732574200529121,0.740969515139205,1.803818881753,0.0351524019553597
"10",50,3.47176254028044,0.426226376428888,7.01992191659462,0.000765696315058364,-0.0148505779474538,0.0164751180915132,-3.14963346683496,-8.9023331521077,1.84438376007726,0.19349980790826,-0.705359074149811,1.05671524643101,0.258080072204023,-0.537550574031358,1.05027938423756,0.415300980019136,-0.827196168869157,1.57889481884589,3.64863115031433,-4.56980285204674,12.1530244495381,-8.28948077021559,-17.2317347955173,0.0458126637709927,-2.23418754387924,-4.06786908800126,-0.558534207651628,0.701883263120324,1.66974837898295,0.0361746496336449
