"","dist","estimates","lowerCI","upperCI","estimates.tothosts","lowerCI.tothosts","upperCI.tothosts","estimates.EimNHprev","lowerCI.EimNHprev","upperCI.EimNHprev","estimates.HpolINF","lowerCI.HpolINF","upperCI.HpolINF","estimates.Sex","lowerCI.Sex","upperCI.Sex","estimates.Age","lowerCI.Age","upperCI.Age","estimates.capdate1","lowerCI.capdate1","upperCI.capdate1","estimates.capdate2","lowerCI.capdate2","upperCI.capdate2","estimates.intercept","lowerCI.intercept","upperCI.intercept","estimates.raneff","lowerCI.raneff","upperCI.raneff"
"1",10,-0.431052739453232,-1.20384587336052,0.385485999599998,0.00224840037833391,-0.199666571784398,0.204955766130774,-4.83735664099499,-10.381681322112,0.557882029348344,-0.502962752747655,-2.42932049559307,1.34509884778983,0.567857656020731,-1.08627334244978,2.27591056578303,0.228991815135068,-2.17558067225447,2.6090618737958,2.92707993999403,-3.83931113539197,9.45432325207626,2.24587475172716,-3.8771275673549,8.19611199016635,6.38318157975624,3.73029643844782,8.85086566139619,0.670051286873889,1.80439201059783,0.0293366412297084
"2",14.1,-0.892675507540891,-1.69287286997059,-0.0575978006752327,-0.00250618058527447,-0.141467058958523,0.133992546240253,-4.74826509068142,-12.2551426405574,2.47770241593095,-0.138155540302208,-2.04771503822016,1.76155948824507,0.500357802328435,-1.1329327870751,2.05775923952682,0.247793313527479,-2.20641004389215,2.59419093235934,4.25624329034749,-3.41007663268239,11.8918019592847,2.32013951577813,-3.73763382686032,8.67050898544876,6.99012575143568,3.88343903846801,9.99937945480235,0.666328886504597,1.72310851056587,0.0300012155461192
"3",20,-1.2283374772734,-2.11623314696791,-0.353377273199454,-0.037418336778739,-0.148999263474638,0.0726291079308163,1.49896448017654,-6.25500081596419,9.54682792835507,0.266101753177913,-1.54097010214681,2.13042065045695,0.315156997926399,-1.33402096174933,1.98941520042557,0.573069892038597,-1.89162199441267,3.02453349555589,4.3445556394479,-3.04501511305208,11.9031709186887,3.79123615734185,-2.67027753606192,10.1327410986209,7.26446573333257,4.2890347732648,10.222438008557,0.590807263018692,1.57150896927319,0.0227467252290713
"4",22.4,-0.991611535060332,-2.11158258721899,0.132714508714755,-0.00705050511795046,-0.0971425336190488,0.0865373281280527,2.16569399709361,-5.21826502608074,9.72613045339213,-0.161210210955775,-2.08875474929811,1.73464412341197,0.861342816280357,-0.720278349723319,2.49265076602775,0.461964122996807,-1.97945208534267,2.91954102386486,0.356353876485749,-8.5833121509432,8.94764094027504,5.12458553609202,-2.10334804862394,12.4398559946645,6.32923851522761,2.75252224729072,9.88377677853326,0.76935615635147,1.96149467659049,0.0277617009107097
"5",28.3,-0.896124102382782,-2.09912056678702,0.265379410266212,-0.0163356536702658,-0.0905298806477272,0.0613897615076956,0.909891963707792,-6.43941757313448,8.31326437367477,-0.121604994532345,-2.15911918692909,1.87079673994441,0.855424665753123,-0.773227160883896,2.51207421636404,0.489788947402176,-2.07072470941827,3.09207624631506,1.52310070095863,-7.41122811452557,10.2316903907478,4.36434555897482,-2.81849590523255,11.9527602082984,6.77511025893497,2.87780911390024,10.5642053998896,0.751442785487209,1.93708865180655,0.0348144448523655
"6",30,-0.880810650702611,-2.00787296362168,0.315769850164774,-0.0140895876384921,-0.0728154350335698,0.04613413837576,0.967190380341845,-6.66177410445285,8.9808459218491,-0.0562868503699763,-2.02994009616621,1.98115768549531,0.823691919260472,-0.851567629055736,2.42361043737089,0.470956453799783,-2.07218141786625,2.97044358059078,1.52699212575343,-6.77758493620484,9.57089518775304,4.09531692968226,-2.96376031357743,10.9158619108619,6.79544489568729,2.99683200594729,10.5720244807995,0.698164184969839,1.83677327688153,0.0256184413426925
"7",31.6,-1.11755279355626,-2.29049437954827,0.160720938471915,-0.00152524070176243,-0.0584905795781681,0.0538319970326437,2.26491043580082,-6.82823041137807,11.0931212731175,0.014260266150651,-2.01754096967798,1.96551809611237,0.794091807694411,-0.892625132841367,2.46862485250611,0.131016180611224,-2.41303738956871,2.71519336354999,-1.20247799340946,-9.76541323201717,7.41661690299187,6.67991428439081,-1.17618511497353,14.2041710531588,6.46368317769757,2.1424002764275,10.7681088066574,0.689047396837628,1.80893267869336,0.0310976327669469
"8",36.1,-1.05353689979582,-2.42685901097118,0.184610339438835,-0.013262288423149,-0.0625476623318074,0.0355297993722551,2.36954757880765,-8.59536886953331,12.9984832476237,-0.231878950371154,-2.1302283900797,1.69468780717393,0.808972750817839,-0.868991369263615,2.48367680371976,0.750098778485343,-1.70849264960649,3.3391332410194,0.109973643227864,-8.29019188630508,8.46054599138522,6.42796884088541,-1.98005413147233,15.3416497240821,7.24145848319405,2.7261757977435,11.787373255991,0.717432526835611,1.91475346072208,0.0307460039854276
"9",40,-0.680036909942079,-1.92775422090328,0.572019032108273,0.00272928239080918,-0.0397275992288776,0.0437924256174536,1.51121978086892,-9.69366797222748,12.3745015848573,-0.307871983441066,-2.30386182864472,1.7179400804872,0.814385022236512,-0.898585876065261,2.58367433154514,0.524211256180928,-2.05831771596445,3.08852091453131,-1.37564784317509,-9.91288808889938,7.28344438709048,5.35637529194154,-3.18651815314087,14.0515625634066,5.74872278293121,1.16504191306026,10.3659086523341,0.733123799076666,1.89848255901672,0.0326348210578035
"10",50,-0.412669817693159,-1.75068916171258,1.00785740322805,0.00499840083225321,-0.0269942342886686,0.0368575255084416,-0.55706706108915,-12.4929824835888,11.4179493512743,-0.345993043680209,-2.34734931985349,1.60052058718358,0.837456854935717,-0.894411905895931,2.58873662795106,0.629294369850214,-1.85468789463337,3.19335153698663,-1.08299427816155,-9.50059364205998,7.47257152146579,3.57968364706994,-5.00590348774624,12.4350208860029,5.39705380730806,0.147252598495013,10.5703063690962,0.717257466914603,1.86376233257862,0.026675234285897
