"","dist","estimates","lowerCI","upperCI","estimates.tothosts","lowerCI.tothosts","upperCI.tothosts","estimates.EimNHprev","lowerCI.EimNHprev","upperCI.EimNHprev","estimates.HpolINF","lowerCI.HpolINF","upperCI.HpolINF","estimates.Sex","lowerCI.Sex","upperCI.Sex","estimates.Age","lowerCI.Age","upperCI.Age","estimates.capdate1","lowerCI.capdate1","upperCI.capdate1","estimates.capdate2","lowerCI.capdate2","upperCI.capdate2","estimates.intercept","lowerCI.intercept","upperCI.intercept","estimates.raneff","lowerCI.raneff","upperCI.raneff"
"1",10,-2.07900408466365,-5.98312779377312,1.97034730175392,0.000673541625301979,-0.201756313333234,0.205591382637944,-5.36548253778353,-10.907621625069,0.430037933919047,-0.582235029280278,-2.4298761696014,1.35388535191826,0.610184891001097,-1.0694458035322,2.26107727350392,0.317379018614183,-2.17111286619784,2.76642906129289,1.97337787266533,-4.44844304546846,8.57151287730383,2.02458691415728,-4.26845576763694,8.29434057427462,6.33231986362122,3.8355838111634,8.97355110521944,0.700296565879303,1.80887984312733,0.0296605717473683
"2",14.1,-4.68552184580044,-8.32748323988511,-1.02288571072918,0.00517298101045796,-0.131317267455437,0.141962650087225,-5.43539996192489,-12.6783454079108,1.9510399082534,-0.294499307837969,-2.18708841698501,1.53601207731706,0.633917726428963,-0.923223776487275,2.20777039542876,0.635389777897937,-1.62335943502484,2.97657951922601,2.15249609851282,-4.78239141499836,9.20614917194742,2.87502359135512,-3.09194953690365,8.75270553904285,6.79671477271161,3.85868147008279,9.5164543391332,0.680256701848572,1.77801913068943,0.0321752001030856
"3",20,-5.05275722245749,-8.88184681259744,-1.1054852898966,-0.0585675916035128,-0.170898386360736,0.0575260739627097,0.491733574350086,-7.57632401960443,8.5433617828664,0.290172310942804,-1.57353719890325,2.11434739454507,0.438281609361304,-1.17355672829608,2.07934119563558,0.854507624908526,-1.49153145491356,3.21083804951256,1.99793614113947,-5.52766060144182,9.72929970580857,3.95737011095298,-2.33792455535175,10.4295299434466,7.33548235707509,4.25886570669152,10.5032372060247,0.58668532295009,1.57544732853544,0.0214506230975775
"4",22.4,-6.86500282118477,-12.4601484316548,-1.13523741965786,-0.0139772289375202,-0.10141417100554,0.0759951932909444,-0.726774694641428,-7.70791000870845,6.06434520375815,0.0570808613591491,-1.79149728934441,1.89459136243038,0.742495473180664,-0.843183628437806,2.34624660390363,0.678941960480862,-1.78071538973135,3.11005349136842,-1.14857519506224,-9.40215985906156,7.24243720410685,6.59331588725811,-0.535527664938228,13.9036969456934,7.18492284049327,3.4172134342237,10.9006008965106,0.690994203937742,1.76172000431064,0.0288323114034473
"5",28.3,-6.83233237867144,-12.2812774100657,-1.3850887761692,-0.0188767621830501,-0.0879133526398373,0.0487894155623403,-1.12066085594152,-7.88317342261891,5.46072191889065,0.205639355140192,-1.67154485104041,2.06608653929307,0.747701049120228,-0.795140334090569,2.32060038732431,0.464055911722974,-1.92432977851549,2.84463893378396,0.108527224323173,-7.74842480262206,8.07479631034638,5.67849152549516,-1.19352857487433,12.1715196629711,7.43074486187106,3.96933907634732,11.0144375119658,0.662140179286297,1.76757453643904,0.0296976131416741
"6",30,-6.8964060196129,-12.310228458086,-1.30174092747806,-0.0113927021712983,-0.0648038109955447,0.0419067493279505,-1.31932254554001,-8.64586781553994,6.09315865439415,0.185848289971633,-1.73892200061537,2.04985770440519,0.705831200992034,-0.833097876208195,2.27926726958834,0.460488853494824,-1.91404994498025,2.89691240499595,-0.309933792695663,-8.01190312163098,7.44313711176738,5.68893945976349,-1.45293558877531,12.3786722431715,7.23718010784438,3.98179686039883,10.5267855156693,0.657147874686675,1.72973360694084,0.0295181809351581
"7",31.6,-8.18096021445633,-14.2404196796017,-1.84101834920213,-0.000416942374756551,-0.0475923276447725,0.0485959194232986,-0.805010914790915,-9.6049183646441,7.7575662128874,0.188795124589073,-1.65911474630463,2.08979592090181,0.837908528335235,-0.795555076694098,2.45272425374041,0.581453086669084,-1.8490410605639,2.99832186484272,-2.73500701942051,-10.7862563516001,5.29732311364913,8.03830971630406,0.47495665519686,15.2402534430126,6.92056714423158,3.03214106624779,10.5039816095951,0.698509135254452,1.83972392774624,0.0329508926245864
"8",36.1,-7.30049478024587,-13.8438344565379,-0.837246550230624,-0.00756285613201652,-0.0516083385760845,0.0359269950646916,-1.27913234054756,-11.2161929680971,8.38483566834267,0.0570590401173931,-1.80593465085385,1.94971628151107,0.801074001581699,-0.836859331616328,2.43198968682619,0.951380127178944,-1.59463501142986,3.46938136058574,-0.653653179498734,-8.53889708032846,7.61626625860868,6.11097320824869,-1.28387404039235,13.4018492397436,7.28070029019635,3.27160056576353,11.2068536003387,0.665112293389225,1.78173651629405,0.026545527974282
"9",40,-6.45341213960911,-12.9437971383322,0.421178301927425,0.00411329721441899,-0.0343947103835691,0.0417996185248483,-0.958303088673611,-11.0286064732339,9.57475412754043,0.0721910428366467,-1.94651477624994,1.95752113358188,0.73926959696948,-0.872984554306756,2.36754335510958,0.621525013532354,-1.78443436892613,3.07797002676727,-2.3753179218882,-10.3892140370688,6.09146101385476,5.92724789429214,-1.41935963569552,13.2059610929231,6.29731292767153,2.37490551349099,10.0378208089397,0.688892971515988,1.80091493619056,0.0284286831545183
"10",50,-6.8221815138583,-14.6767771578911,1.24570463722566,0.0036232954196822,-0.0244083867336431,0.0306125500673002,-1.73917300629105,-13.1082086643547,9.32277549792385,0.0784932063711134,-1.89703359973285,1.98186953252474,0.715529210404662,-0.868917440195344,2.29188620036731,0.712502664609884,-1.69757399045816,3.15993913286342,-3.02439264565426,-11.2617240756837,5.24499179325534,5.98562798377512,-2.14055109076503,13.7750003762468,6.40565433732953,2.24308641683529,10.5430561052057,0.644825572055255,1.71552735667079,0.0309393173869658
