"","dist","estimates","lowerCI","upperCI","estimates.tothosts","lowerCI.tothosts","upperCI.tothosts","estimates.EimNHprev","lowerCI.EimNHprev","upperCI.EimNHprev","estimates.HpolINF","lowerCI.HpolINF","upperCI.HpolINF","estimates.Sex","lowerCI.Sex","upperCI.Sex","estimates.Age","lowerCI.Age","upperCI.Age","estimates.capdate1","lowerCI.capdate1","upperCI.capdate1","estimates.capdate2","lowerCI.capdate2","upperCI.capdate2","estimates.intercept","lowerCI.intercept","upperCI.intercept","estimates.raneff","lowerCI.raneff","upperCI.raneff"
"1",10,-2.40460666254012,-6.54192169414053,1.72902733576972,0.0410743203830923,-0.0702003090241741,0.15405396232329,-5.3198817789029,-12.441148704,1.73270871816413,-0.437777671545245,-2.30320402917953,1.46251625242313,1.00286172711985,-0.61903591905753,2.67689891749588,0.759202239497548,-1.70086744099623,3.20824281983035,-2.1087822294768,-11.6391259111053,7.43327507509112,-0.207796248616101,-6.58397923771448,6.11571968564408,5.45003662348968,2.70495204284624,8.24424107960785,0.672466276076273,1.7482061622289,0.0269022321830431
"2",14.1,-4.3731735308907,-8.40626611067882,-0.20754472387446,0.0226063817652333,-0.0446617646570085,0.0878187322743775,-6.5577588319659,-15.3193400227403,2.34331029874975,-0.30775521740757,-2.17416399120716,1.54422123166588,0.869999386554775,-0.750664071957604,2.52712629156239,0.941979041924171,-1.29540888843016,3.24955232627534,-2.65810673682318,-12.8484145540685,7.67981250987812,-0.994917750269368,-7.43631030865817,5.62432692842115,6.12743062661618,2.9765039691845,9.23829720733107,0.688914074095102,1.77021335537557,0.0305417784287551
"3",20,-4.38606154002015,-8.77588825707711,-0.0194661656070966,-0.00338359271308805,-0.0626514515146504,0.0553651221619787,-1.06626603311101,-11.1919138903072,9.47814249562041,0.0194580976929912,-1.89615802323617,1.93873801069289,0.560460188054075,-1.11642620149204,2.32459455061082,0.733835227382052,-1.71172246492438,3.190197320386,-1.10964196117225,-13.388350235871,10.9054369655257,2.39808238268686,-4.25587183475021,9.07109167809874,6.45271533545222,2.89282160465057,9.99552082248531,0.645019709357591,1.73101944977265,0.0231323593857612
"4",22.4,-6.53784403198836,-12.9878603991608,0.0300951531586642,0.00927850232057064,-0.0373436229299736,0.0537968438178093,-1.51468267552851,-9.71513397979034,7.05662809831376,-0.290036067579733,-2.19837451345734,1.62115459769071,0.982135143884647,-0.516667461140026,2.55009769882342,0.770469063734597,-1.65214361104016,3.19316975133542,-6.89960796782256,-20.4952133271618,7.94877663603763,3.24056856171335,-3.68320409094948,9.96401982437091,6.22774562970438,1.85882777950247,10.3324266492501,0.665614425343597,1.74700018128282,0.0313183760391308
"5",28.3,-6.36409934937273,-12.6023442594832,-0.0653693419337357,0.0043192141201143,-0.0308098870524154,0.0395699898117424,-2.09471797256499,-9.92545046823857,5.80283776468092,-0.0961089621558762,-2.03400223403679,1.83528341258948,0.884796793352358,-0.591635277307086,2.46803954286566,0.445382608706512,-1.91971749892444,2.82393096528783,-4.99133653804978,-18.3559071503284,8.48816847407219,2.52325214034972,-4.06195542475704,9.18899668828793,6.52486471657254,2.47474744259401,10.5536426256276,0.681435904248264,1.77644101763966,0.0324338866483475
"6",30,-6.30546981769065,-12.5363751339591,-0.0320746361530823,0.00840067983248147,-0.0226724960533577,0.0386870522550257,-1.59586227337124,-10.5467635145443,7.74799052826941,-0.173507551780491,-2.03747078379562,1.81095300533693,0.947781000522047,-0.612964095455125,2.49130166286228,0.416971647069625,-1.96699531267237,2.82882119812159,-6.79740681956708,-20.5781482927303,6.99389521365283,2.19556069248985,-4.16602853361106,8.53030068602238,5.86199060098854,1.86438516329083,9.99950779712777,0.637677699018752,1.6927060944017,0.0262838398665814
"7",31.6,-6.16562388030705,-13.1454270854799,0.939231290259906,0.0170733933331905,-0.00983512270059169,0.0434255168691614,-0.773520017341755,-10.7596221871413,9.19272156696199,-0.428634087715811,-2.34636678108418,1.41740986253475,1.03814151678605,-0.506542004948212,2.57721278751315,0.463506818728748,-1.85798668679307,2.85636086851203,-12.4569740433945,-27.0890649651583,1.99578706753587,2.18256397723629,-4.755630003768,9.08831287309937,4.51376317424206,0.360064444416571,8.82493781037771,0.672811470161144,1.76533644809264,0.0276036910104071
"8",36.1,-5.87946278473743,-13.5333286416646,1.68376490443156,0.00908511148056403,-0.0156574278357326,0.0339061582761661,0.351324611489422,-11.3807930678487,11.4851596039003,-0.332776313274439,-2.21842236055539,1.61292257476769,0.966396724309045,-0.600714754857441,2.51789819018498,0.749013059206445,-1.67732256506266,3.24093447038399,-8.52166720206423,-24.0503300697045,6.55458414993179,2.52482753133364,-4.40841951486065,9.42765637012354,5.0044032085891,0.211078756924191,9.79012946327459,0.706148993965417,1.80874083954489,0.0296601713557493
"9",40,-5.6886439110869,-13.0530768190633,1.77116311654342,0.0117975809938477,-0.00999879437635196,0.0327620170686723,-0.962018110078049,-12.7881448259932,10.5595574982312,-0.359692178193856,-2.26531525930114,1.56717503336727,0.922660021315065,-0.590355258648274,2.47544596833679,0.596290326204211,-1.74622186883944,2.98181576580454,-11.0254714049995,-25.4693217370275,4.35016748343955,1.60581461521527,-5.15589363751642,8.3637508624503,4.56823368174739,-0.0720946674562001,9.35813722703002,0.697041397955102,1.81944629054895,0.0306694332926864
"10",50,-4.56800923135264,-13.3106260205751,4.28712883222394,0.0086903010367485,-0.00713294660907977,0.0245446194979122,-1.98334302677807,-15.022866085908,11.3230322812237,-0.351080427195923,-2.27535618350903,1.61041281823524,0.848229202390499,-0.703141093621855,2.49202595689049,0.647493315421215,-1.6847982940102,3.04744290638228,-9.80063411787575,-25.2277815001907,5.17689497936919,1.56256210262894,-5.55762882748232,8.73171602887111,4.42286437697207,-0.713988634379268,9.72361607258707,0.668649947220999,1.78280246221185,0.0276421449501803
