X,Y,ID,year,Grid,Capture.date,Sex,Age,EappINF,EappInt,EhungINF,EhungInt,HpolINF,ID.CapDate,treated.Y.N
70,100,66883112,2012,HA1,06/06/2012,F,Adult,0,NA,0,NA,0,66883112-2012-06-06,0
60,60,67001638,2012,HA1,07/06/2012,F,NotAdult,0,NA,0,NA,0,67001638-2012-06-07,1
30,40,49829569,2012,HA1,06/06/2012,F,Adult,0,NA,0,NA,0,49829569-2012-06-06,0
10,80,66865371,2012,HA1,07/06/2012,M,Adult,0,NA,0,NA,1,66865371-2012-06-07,0
20,40,67007859,2012,HA1,08/06/2012,F,NotAdult,0,NA,0,NA,1,67007859-2012-06-08,1
40,40,66863517,2012,HA1,07/06/2012,F,NotAdult,0,NA,0,NA,0,66863517-2012-06-07,0
90,10,66891022,2012,HA1,08/06/2012,M,Adult,1,3646.153846,1,1892.307692,1,66891022-2012-06-08,1
10,0,66855330,2012,HA1,08/06/2012,M,Adult,0,NA,0,NA,0,66855330-2012-06-08,0
0,20,66889018,2012,HA1,06/06/2012,F,Adult,0,NA,0,NA,1,66889018-2012-06-06,1
80,30,66894117,2012,HA1,06/06/2012,F,NotAdult,1,464.516129,0,NA,1,66894117-2012-06-06,1
10,90,49847790,2012,HA1,06/06/2012,F,Adult,0,NA,0,NA,1,49847790-2012-06-06,0
10,10,66882554,2012,HA1,06/06/2012,M,NotAdult,0,NA,1,420.8333333,0,66882554-2012-06-06,1
10,10,49811771,2012,HA1,06/06/2012,F,Adult,0,NA,0,NA,1,49811771-2012-06-06,0
20,60,66854826,2012,HA1,06/06/2012,M,Adult,0,NA,0,NA,0,66854826-2012-06-06,1
30,100,52842550,2012,HA1,06/06/2012,F,Adult,0,NA,0,NA,1,52842550-2012-06-06,0
30,50,66890033,2012,HA1,07/06/2012,F,Adult,0,NA,0,NA,1,66890033-2012-06-07,1
100,30,66880622,2012,HA1,07/06/2012,M,Adult,0,NA,0,NA,0,66880622-2012-06-07,1
100,80,66861012,2012,HA1,07/06/2012,F,Adult,0,NA,0,NA,1,66861012-2012-06-07,0
90,30,66855566,2012,HA1,07/06/2012,M,NotAdult,0,NA,0,NA,0,66855566-2012-06-07,1
0,0,67125021,2012,HA1,19/06/2012,M,Adult,0,NA,0,NA,0,67125021-2012-06-19,0
0,20,66889018,2012,HA1,19/06/2012,F,Adult,0,NA,0,NA,0,66889018-2012-06-19,1
0,40,66890033,2012,HA1,19/06/2012,F,Adult,0,NA,0,NA,0,66890033-2012-06-19,1
10,40,67279086,2012,HA1,19/06/2012,M,Adult,0,NA,1,294.4444444,1,67279086-2012-06-19,1
10,20,49811771,2012,HA1,19/06/2012,F,Adult,0,NA,0,NA,1,49811771-2012-06-19,0
10,10,66865371,2012,HA1,19/06/2012,M,Adult,0,NA,0,NA,0,66865371-2012-06-19,0
20,10,67007859,2012,HA1,19/06/2012,F,Adult,0,NA,1,165.5172414,1,67007859-2012-06-19,1
40,50,67001638,2012,HA1,19/06/2012,F,NotAdult,0,NA,0,NA,0,67001638-2012-06-19,1
